mass_A
t,x,y
8.808390086E0,-7.295893057E0,2.295773712E0
8.817770774E0,-7.278909805E0,2.293261185E0
8.827151461E0,-7.264446447E0,2.292221846E0
8.836532148E0,-7.255183542E0,2.291303326E0
8.845912835E0,-7.241282903E0,2.291272177E0
8.855293522E0,-7.227489080E0,2.292235721E0
8.864674209E0,-7.217160311E0,2.292798628E0
8.874054896E0,-7.206020862E0,2.294283752E0
8.883435583E0,-7.197758759E0,2.294505680E0
8.892816270E0,-7.188140950E0,2.295030088E0
8.902196957E0,-7.174959744E0,2.296011328E0
8.911577644E0,-7.160634973E0,2.296749326E0
8.920958331E0,-7.150566293E0,2.295918426E0
8.930339018E0,-7.135730156E0,2.292348911E0
8.939719705E0,-7.121095853E0,2.289339279E0
8.949100392E0,-7.114165440E0,2.289067011E0
8.958481079E0,-7.113267782E0,2.289476558E0
8.967861766E0,-7.112462991E0,2.289852344E0
8.977242453E0,-7.107166272E0,2.289083634E0
8.986623140E0,-7.069774184E0,2.291042106E0
8.996003827E0,-7.016508013E0,2.292898030E0
9.005384514E0,-7.002827245E0,2.292885670E0
9.014765201E0,-6.989436117E0,2.292608549E0
9.024145888E0,-6.975511643E0,2.292514357E0
9.033526575E0,-6.971880174E0,2.293009591E0
9.042907263E0,-6.971158379E0,2.293078508E0
9.052287950E0,-6.971096134E0,2.293234824E0
9.061668637E0,-6.971004146E0,2.293259101E0
9.071049324E0,-6.970929560E0,2.293288589E0
9.080430011E0,-6.970969727E0,2.293210221E0
9.089810698E0,-6.963087576E0,2.292753129E0
9.099191385E0,-6.925607443E0,2.294353945E0
9.108562691E0,-6.878766988E0,2.298320348E0
9.117943378E0,-6.864675783E0,2.298357962E0
9.127324065E0,-6.848938279E0,2.295472236E0
9.136704752E0,-6.833040994E0,2.294059801E0
9.146085439E0,-6.826104313E0,2.293436926E0
9.155466126E0,-6.824931854E0,2.293683042E0
9.164846813E0,-6.824452200E0,2.293546235E0
9.174227500E0,-6.824207359E0,2.293645464E0
9.183608187E0,-6.823862564E0,2.293680511E0
